,gwl,wl,rain,stgH,stgT,gate1,gate2
2017-01-19 04:00:00+00:00,,-0.315,,,,,
2017-01-19 05:00:00+00:00,,-0.205,,,,,
2017-01-19 06:00:00+00:00,,-0.099,,,,,
2017-01-19 07:00:00+00:00,,-0.039,,,,,
2017-01-19 08:00:00+00:00,,-0.051,,,,,
2017-01-19 09:00:00+00:00,,-0.16,,,,,
2017-01-19 10:00:00+00:00,,-0.28,,,,,
2017-01-19 11:00:00+00:00,,-0.368,,,,,
2017-01-19 12:00:00+00:00,,-0.439,,,,,
2017-01-19 13:00:00+00:00,,-0.458,,,,,
2017-01-19 14:00:00+00:00,,-0.418,,,,,
2017-01-19 15:00:00+00:00,,-0.337,,,,,
2017-01-19 16:00:00+00:00,,-0.22,,,,,
2017-01-19 17:00:00+00:00,,-0.12,,,,,
2017-01-19 18:00:00+00:00,,-0.037,,,,,
2017-01-19 19:00:00+00:00,,0.035,,,,,
2017-01-19 20:00:00+00:00,,0.018,,,,,
2017-01-19 21:00:00+00:00,,-0.09,,,,,
2017-01-19 22:00:00+00:00,,-0.204,,,,,
2017-01-19 23:00:00+00:00,,-0.306,,,,,
2017-01-20 00:00:00+00:00,,-0.406,,,,,
2017-01-20 01:00:00+00:00,,-0.476,,,,,
2017-01-20 02:00:00+00:00,,-0.491,,,,,
2017-01-20 03:00:00+00:00,,-0.438,,,,,
2017-01-20 04:00:00+00:00,,-0.316,,,,,
2017-01-20 05:00:00+00:00,,-0.196,,,,,
2017-01-20 06:00:00+00:00,,-0.099,,,,,
2017-01-20 07:00:00+00:00,,-0.014,,,,,
2017-01-20 08:00:00+00:00,,0.023,,,,,
2017-01-20 09:00:00+00:00,,-0.029,,,,,
2017-01-20 10:00:00+00:00,,-0.153,,,,,
2017-01-20 11:00:00+00:00,,-0.266,,,,,
2017-01-20 12:00:00+00:00,,-0.342,,,,,
2017-01-20 13:00:00+00:00,,-0.405,,,,,
2017-01-20 14:00:00+00:00,,-0.436,,,,,
2017-01-20 15:00:00+00:00,,-0.401,,,,,
2017-01-20 16:00:00+00:00,,-0.301,,,,,
2017-01-20 17:00:00+00:00,,-0.2,,,,,
2017-01-20 18:00:00+00:00,,-0.119,,,,,
